"unique_ID","Date","Time","Temp"
"6B1","2016-06-18","03:29:01",10.357
"6B1","2016-06-18","09:29:01",10.063
"6B1","2016-06-18","15:29:01",9.965
"6B1","2016-06-18","21:29:01",9.768
"6B1","2016-06-19","03:29:01",9.472
"6B1","2016-06-19","09:29:01",9.275
"6B1","2016-06-19","15:29:01",9.669
"6B1","2016-06-19","21:29:01",9.669
"6B1","2016-06-20","03:29:01",9.176
"6B1","2016-06-20","09:29:01",8.978
"6B1","2016-06-20","15:29:01",9.965
"6B1","2016-06-20","21:29:01",10.944
"6B1","2016-06-21","03:29:01",10.259
"6B1","2016-06-21","09:29:01",10.063
"6B1","2016-06-21","15:29:01",10.357
"6B1","2016-06-21","21:29:01",10.357
"6B1","2016-06-22","03:29:01",10.063
"6B1","2016-06-22","09:29:01",9.866
"6B1","2016-06-22","15:29:01",10.553
"6B1","2016-06-22","21:29:01",11.139
"6B1","2016-06-23","03:29:01",10.748
"6B1","2016-06-23","09:29:01",10.553
"6B1","2016-06-23","15:29:01",11.528
"6B1","2016-06-23","21:29:01",12.11
"6B1","2016-06-24","03:29:01",11.431
"6B1","2016-06-24","09:29:01",10.944
"6B1","2016-06-24","15:29:01",11.916
"6B1","2016-06-24","21:29:01",12.401
"6B1","2016-06-25","03:29:01",11.916
"6B1","2016-06-25","09:29:01",11.722
"6B1","2016-06-25","15:29:01",12.013
"6B1","2016-06-25","21:29:01",12.497
"6B1","2016-06-26","03:29:01",11.625
"6B1","2016-06-26","09:29:01",11.334
"6B1","2016-06-26","15:29:01",12.401
"6B1","2016-06-26","21:29:01",13.076
"6B1","2016-06-27","03:29:01",12.594
"6B1","2016-06-27","09:29:01",12.401
"6B1","2016-06-27","15:29:01",12.98
"6B1","2016-06-27","21:29:01",13.365
"6B1","2016-06-28","03:29:01",12.401
"6B1","2016-06-28","09:29:01",11.916
"6B1","2016-06-28","15:29:01",12.11
"6B1","2016-06-28","21:29:01",12.401
"6B1","2016-06-29","03:29:01",11.625
"6B1","2016-06-29","09:29:01",11.041
"6B1","2016-06-29","15:29:01",11.916
"6B1","2016-06-29","21:29:01",12.69
"6B1","2016-06-30","03:29:01",12.11
"6B1","2016-06-30","09:29:01",11.819
"6B1","2016-06-30","15:29:01",12.594
"6B1","2016-06-30","21:29:01",12.883
"6B1","2016-07-01","03:29:01",12.304
"6B1","2016-07-01","09:29:01",12.013
"6B1","2016-07-01","15:29:01",12.69
"6B1","2016-07-01","21:29:01",12.883
"6B1","2016-07-02","03:29:01",12.207
"6B1","2016-07-02","09:29:01",12.013
"6B1","2016-07-02","15:29:01",12.497
"6B1","2016-07-02","21:29:01",12.883
"6B1","2016-07-03","03:29:01",12.304
"6B1","2016-07-03","09:29:01",12.013
"6B1","2016-07-03","15:29:01",12.497
"6B1","2016-07-03","21:29:01",12.401
"6B1","2016-07-04","03:29:01",12.013
"6B1","2016-07-04","09:29:01",11.722
"6B1","2016-07-04","15:29:01",12.207
"6B1","2016-07-04","21:29:01",12.883
"6B1","2016-07-05","03:29:01",12.11
"6B1","2016-07-05","09:29:01",11.625
"6B1","2016-07-05","15:29:01",12.304
"6B1","2016-07-05","21:29:01",12.787
"6B1","2016-07-06","03:29:01",12.11
"6B1","2016-07-06","09:29:01",11.819
