"Track.n." "Slice.n." "X" "Y" "Distance" "Velocity" "Pixel.Value" "Treat" "Replica" "was.disp" "ID" "time"
"263" 5 23 4458 3340 "39.051" 3.905 -4935783 1 1 0 1105 230
"264" 5 24 4462 3340 "4.000" 0.4 -7896198 1 1 0 1105 240
"265" 5 25 4454 3383 "43.738" 4.374 -4344661 1 1 0 1105 250
"266" 5 26 4454 3426 "43.000" 4.3 -1647673 1 1 0 1105 260
"267" 5 27 4454 3460 "34.000" 3.4 -5858686 1 1 0 1105 270
"268" 5 28 4356 3524 "117.047" 11.705 -3557748 1 1 0 1105 280
"269" 5 29 4390 3511 "36.401" 3.64 -2765889 1 1 0 1105 290
"270" 5 30 4403 3498 "18.385" 1.838 -4411240 1 1 0 1105 300
"271" 5 31 4398 3511 "13.928" 1.393 -2764344 1 1 0 1105 310
"272" 5 32 4398 3511 "0.000" 0 -2896718 1 1 0 1105 320
"273" 5 33 4398 3511 "0.000" 0 -3092534 1 1 0 1105 330
"274" 5 34 4394 3494 "17.464" 1.746 -3948634 1 1 0 1105 340
"275" 5 35 4394 3494 "0.000" 0 -4344936 1 1 0 1105 350
"276" 5 36 4394 3494 "0.000" 0 -4541286 1 1 0 1105 360
"277" 5 37 4394 3494 "0.000" 0 -6119790 1 1 0 1105 370
"278" 5 38 4394 3494 "0.000" 0 -4410987 1 1 0 1105 380
"279" 5 39 4394 3494 "0.000" 0 -2369075 1 1 0 1105 390
"280" 5 40 4381 3528 "36.401" 3.64 -3754090 1 1 0 1105 400
"281" 5 41 4381 3528 "0.000" 0 -4479092 1 1 0 1105 410
"282" 5 42 4352 3554 "38.949" 3.895 -4411238 1 1 0 1105 420
"283" 5 43 4352 3554 "0.000" 0 -5066838 1 1 0 1105 430
"284" 5 44 4352 3554 "0.000" 0 -3027016 1 1 0 1105 440
"285" 5 45 4352 3554 "0.000" 0 -3949656 1 1 0 1105 450
"286" 5 46 4352 3554 "0.000" 0 -1974579 1 1 0 1105 460
"287" 5 47 4352 3554 "0.000" 0 -2501689 1 1 0 1105 470
"288" 5 48 4352 3554 "0.000" 0 -3159369 1 1 0 1105 480
"289" 5 49 4352 3554 "0.000" 0 -3750990 1 1 0 1105 490
"290" 5 50 4352 3554 "0.000" 0 -3290955 1 1 0 1105 500
"291" 5 51 4352 3554 "0.000" 0 -11185840 1 1 0 1105 510
"292" 5 52 4369 3609 "57.567" 5.757 -2436160 1 1 0 1105 520
"293" 5 53 4403 3639 "45.343" 4.534 -4543345 1 1 0 1105 530
"294" 5 54 4403 3622 "17.000" 1.7 -2830915 1 1 0 1105 540
"295" 5 55 4407 3618 "5.657" 0.566 -3225426 1 1 0 1105 550
"296" 5 56 4403 3630 "12.649" 1.265 -4541813 1 1 0 1105 560
"297" 5 57 4403 3630 "0.000" 0 -7964578 1 1 0 1105 570
"298" 5 58 4407 3639 "9.849" 0.985 -6453155 1 1 0 1105 580
"299" 5 59 4441 3609 "45.343" 4.534 -6650258 1 1 0 1105 590
"300" 5 60 4441 3609 "0.000" 0 -3029589 1 1 0 1105 600
"301" 1 1 1544 1220 "-1.000" -1 -6513546 1 2 1 1211 10
"302" 1 2 1890 482 "4.075.414" 407.541 -4801669 1 2 1 1211 20
"303" 1 3 1685 174 "1.849.926" 184.993 -4278174 1 2 1 1211 30
"304" 1 4 1958 145 "1.372.680" 137.268 -5986949 1 2 1 1211 40
"305" 1 5 2184 644 "2.738.964" 273.896 -5065071 1 2 1 1211 50
"306" 1 6 2560 1075 "2.859.795" 285.979 -5593495 1 2 1 1211 60
"307" 1 7 3033 1454 "3.030.553" 303.055 -6448788 1 2 1 1211 70
"308" 1 8 3345 1920 "2.804.015" 280.401 -6119803 1 2 1 1211 80
"309" 1 9 3622 2188 "1.927.129" 192.713 -1248790 1 2 1 1211 90
"310" 1 10 3818 2739 "2.924.111" 292.411 -3486521 1 2 1 1211 100
"311" 1 11 3976 3148 "2.192.288" 219.229 -1381405 1 2 1 1211 110
"312" 1 12 4262 3618 "2.750.891" 275.089 -6448028 1 2 1 1211 120
"313" 1 13 4531 3865 "1.825.993" 182.599 -4735329 1 2 1 1211 130
"314" 1 14 5188 3686 "3.404.739" 340.474 -4737384 1 2 1 1211 140
"315" 1 15 5405 3656 "1.095.320" 109.532 -5326940 1 2 1 1211 150
"316" 1 16 4582 3758 "4.146.483" 414.648 -5724303 1 2 1 1211 160
"317" 1 17 4445 3818 "747.813" 74.781 -5922965 1 2 1 1211 170
"318" 1 18 4258 3908 "1.037.654" 103.765 -5857683 1 2 1 1211 180
"319" 1 19 3498 3613 "4.076.227" 407.623 -4342914 1 2 1 1211 190
"320" 1 20 2244 3793 "6.334.264" 633.426 -5922696 1 2 1 1211 200
"321" 1 21 1109 3498 "5.863.553" 586.355 -6054547 1 2 1 1211 210
"322" 1 22 1203 3323 "993.240" 99.324 -4015993 1 2 1 1211 220
"323" 1 23 1365 2833 "2.580.426" 258.043 -5988239 1 2 1 1211 230
"324" 1 24 1459 1898 "4.698.566" 469.857 -5724303 1 2 1 1211 240
"325" 1 25 1779 994 "4.794.831" 479.483 -5724804 1 2 1 1211 250
"326" 1 26 2282 320 "4.205.012" 420.501 -5855111 1 2 1 1211 260
"327" 1 27 3037 238 "3.797.200" 379.72 -5526148 1 2 1 1211 270
"328" 1 28 3609 452 "3.053.604" 305.36 -5001091 1 2 1 1211 280
"329" 1 29 4407 836 "4.427.923" 442.792 -5264530 1 2 1 1211 290
"330" 1 30 5009 1092 "3.270.856" 327.086 -4605036 1 2 1 1211 300
"331" 1 31 5440 1506 "2.988.131" 298.813 -5722714 1 2 1 1211 310
"332" 1 32 5431 2214 "3.540.286" 354.029 -4339777 1 2 1 1211 320
