"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.484606,-2.502018,"1734_3_1","elephants","HA",10,3.5,0.455931955649724
15.48476,-2.501961,"1735_3_1","elephants","HA",10.2,3.1,0.517238477927645
15.48486,-2.501996,"1736_3_1","elephants","HA",9.3,3,0.491361693834273
15.484764,-2.501738,"1737_3_1","elephants","HA",11.3,4,0.451018452155457
15.48449,-2.501527,"1738_3_1","elephants","HA",11.2,3.5,0.505149978319906
15.484732,-2.501331,"1739_3_1","elephants","HA",9.3,4,0.366422957225973
15.48262,-2.502422,"174_1_1","elephants","HA",12.6,5.8,0.336942551554626
15.484947,-2.501359,"174_2_1","elephants","HA",11,4.2,0.418143394760325
15.484883,-2.501358,"1740_3_1","elephants","HA",10.9,4.1,0.424642641220888
15.48489,-2.501356,"1741_3_1","elephants","HA",10,3.4,0.468521082957745
15.484927,-2.501322,"1742_3_1","elephants","HA",9,4,0.352182518111362
15.484761,-2.5015,"1743_3_1","elephants","HA",9.9,3.1,0.504273500763277
15.484937,-2.501487,"1744_3_1","elephants","HA",10.2,3.5,0.464532127411642
15.484999,-2.501403,"1745_3_1","elephants","HA",9.9,3.6,0.439332693830263
15.484972,-2.501305,"1746_3_1","elephants","HA",10.8,3.5,0.489355711136674
15.484971,-2.501265,"1747_3_1","elephants","HA",9.5,3.1,0.486361911454575
15.485071,-2.501324,"1748_3_1","elephants","HA",11.1,3.6,0.48902047801937
15.484975,-2.501473,"1749_3_1","elephants","HA",10.8,5,0.334453751150931
15.482582,-2.502427,"175_1_1","elephants","HA",17,6.2,0.43805723188002
15.484904,-2.501386,"175_2_1","elephants","HA",19,5.8,0.515325607389892
15.485352,-2.501699,"1750_3_1","elephants","HA",9.5,4,0.375663613960885
15.485343,-2.50173,"1751_3_1","elephants","HA",9.6,4,0.380211241711606
15.485315,-2.501719,"1752_3_1","elephants","HA",9.9,3.1,0.504273500763277
15.485302,-2.501447,"1753_3_1","elephants","HA",10.5,5,0.322219294733919
15.485408,-2.501292,"1754_3_1","elephants","HA",10.2,3.5,0.464532127411642
15.485478,-2.502019,"1755_3_1","elephants","HA",11,3.5,0.497324640807949
15.485622,-2.501271,"1756_3_1","elephants","HA",9,3.2,0.449092531119419
15.485693,-2.50121,"1757_3_1","elephants","HA",9.5,4,0.375663613960885
15.485762,-2.501194,"1758_3_1","elephants","HA",9.6,3.1,0.490909539205296
15.485932,-2.501115,"1759_3_1","elephants","HA",9.5,3.3,0.45920966541096
15.482585,-2.502481,"176_1_1","elephants","HA",12,7.8,0.187086643357144
15.484855,-2.501373,"176_2_1","elephants","HA",14,4.2,0.522878745280338
15.486395,-2.501143,"1760_3_1","elephants","HA",10,4,0.397940008672038
15.486448,-2.501148,"1761_3_1","elephants","HA",11.5,5,0.361727836017593
